Country Name,Country Code,Indicator,2015,2016,2017,2018,2019
Aruba,ABW,Fixed broadband subscriptions,19000,19000,19000,19000,19000
Aruba,ABW,Fixed telephone subscriptions,35000,35000,35000,35000,35000
Aruba,ABW,Mobile cellular subscriptions,141000,141000,141000,141000,141000
Afghanistan,AFG,Fixed broadband subscriptions,7067,8801,16810,17491,19683
Afghanistan,AFG,Fixed telephone subscriptions,110000,114192,118769,127794,134636
Afghanistan,AFG,Mobile cellular subscriptions,19709000,21603000,23929700,21976400,22580100
Angola,AGO,Fixed broadband subscriptions,153571,123135,96919,109561,119047
Angola,AGO,Fixed telephone subscriptions,284925,304493,161070,171858,124726
Angola,AGO,Mobile cellular subscriptions,13884500,13001100,13324000,13288400,14830200
Albania,ALB,Fixed broadband subscriptions,242870,266379,303612,360761,436192
Albania,ALB,Fixed telephone subscriptions,226718,248640,246720,247428,242859
Albania,ALB,Mobile cellular subscriptions,3400960,3369760,3625700,2714880,2630080
Andorra,AND,Fixed broadband subscriptions,30694,32490,34284,35663,36358
Andorra,AND,Fixed telephone subscriptions,38850,38694,38411,39375,39657
Andorra,AND,Mobile cellular subscriptions,71336,76132,80337,82614,87909
United Arab Emirates,ARE,Fixed broadband subscriptions,1234450,1297590,2761830,3024570,3045960
United Arab Emirates,ARE,Fixed telephone subscriptions,2258650,2285810,2320840,2341390,2362600
United Arab Emirates,ARE,Mobile cellular subscriptions,17942600,19905100,19826200,20081000,19602800
Argentina,ARG,Fixed broadband subscriptions,6855840,7223130,7842780,8473660,8793180
Argentina,ARG,Fixed telephone subscriptions,10073100,10164800,9744370,9714080,7737350
Argentina,ARG,Mobile cellular subscriptions,61842000,63719800,61897400,58598000,58606400
Armenia,ARM,Fixed broadband subscriptions,286319,299170,315319,347448,385704
Armenia,ARM,Fixed telephone subscriptions,551366,531624,501013,474526,451571
Armenia,ARM,Mobile cellular subscriptions,3464490,3434570,3488520,3579260,3618750
American Samoa,ASM,Fixed broadband subscriptions,,,,,
