Country,Region,Population,Income Group,CO2 emissions (metric tons per capita),"% Literacy, adult female","% Literacy, adult male","% Primary completion, female","% Primary completion, male","% Lower secondary completion, female","% Lower secondary completion, male",% Parliament seats held by women
Afghanistan,South Asia,35383128,Low income,0.245101422,,,63.60406876,96.54209137,36.81977081,63.8744812,27.71084337
Albania,Europe & Central Asia,2876101,Upper middle income,1.577162624,,,102.2976532,97.79039001,,,22.85714286
Algeria,Middle East & North Africa,40551404,Lower middle income,3.69915599,,,105.5600433,105.6188583,87.66531372,70.96238708,31.6017316
American Samoa,East Asia & Pacific,55741,Upper middle income,0,,,,,,,
Andorra,Europe & Central Asia,77297,High income,6.072370208,,,,,,,32.14285714
Angola,Sub-Saharan Africa,28842484,Lower middle income,1.202860579,,,,,,,36.81818182
Antigua and Barbuda,Latin America & Caribbean,94527,High income,5.896558655,,,,,,,11.11111111
Argentina,Latin America & Caribbean,43590368,Upper middle income,4.619085482,99.14309692,99.1049881,104.3348923,103.4678116,93.22197723,85.32628632,35.79766537
Armenia,Europe & Central Asia,2936146,Upper middle income,1.755976031,,,91.6685791,89.95716095,89.87245178,85.50843048,10.6870229
Aruba,Latin America & Caribbean,104872,High income,8.426910901,,,,,,,
Australia,East Asia & Pacific,24190907,High income,15.53922046,,,,,,,28.66666667
Austria,Europe & Central Asia,8736668,High income,7.033335706,,,99.59905243,99.71157837,97.86573792,96.52494049,30.6010929
Azerbaijan,Europe & Central Asia,9757812,Upper middle income,3.855347182,99.71955109,99.86405182,109.7202072,112.6945419,88.063797,89.88736725,16.8
"Bahamas, The",Latin America & Caribbean,377931,High income,4.725277895,,,77.32086945,77.52667999,,,13.15789474
Bahrain,Middle East & North Africa,1425791,High income,22.22898097,94.28151703,98.55191803,103.0401001,96.28370667,97.18608856,98.26998138,7.5
Bangladesh,South Asia,157970840,Lower middle income,0.533298791,69.89720917,75.61885071,,,87.12796021,71.91602325,20
Barbados,Latin America & Caribbean,285796,High income,4.465128973,,,,,,,16.66666667
