Country,Region,Income_Group,Population,CO2_tons_per_capita,Primary_completion_female,Primary_completion_male,LowSecondary_completion_female,LowSecondary_completion_male,pct_Women_in_Parliament,Broadband_subscs_per1k,MobileCell_subscs_per1k,GDP_per_capita_USD,GNI_per_capita_USD,Life_expectancy
Afghanistan,South Asia,Low income,35383128,0.245101422,63.60406876,96.54209137,36.81977081,63.8744812,27.71084337,0.248734369,610.5452294,1981.112469,2000,63.763
Albania,Europe & Central Asia,Upper middle income,2876101,1.577162624,102.2976532,97.79039001,,,22.85714286,92.61809651,1171.641747,12002.9319,12200,78.194
Algeria,Middle East & North Africa,Lower middle income,40551404,3.69915599,105.5600433,105.6188583,87.66531372,70.96238708,31.6017316,70.51716384,1160.041216,11624.33899,11510,76.298
American Samoa,East Asia & Pacific,Upper middle income,55741,0,,,,,,,,,,
Andorra,Europe & Central Asia,High income,77297,6.072370208,,,,,32.14285714,420.3267915,984.9282637,,,
Angola,Sub-Saharan Africa,Lower middle income,28842484,1.202860579,,,,,36.81818182,4.269223136,450.7621466,7103.225938,6730,59.925
Antigua and Barbuda,Latin America & Caribbean,High income,94527,5.896558655,,,,,11.11111111,97.972008,1904.217843,19918.79063,18570,76.617
Argentina,Latin America & Caribbean,Upper middle income,43590368,4.619085482,104.3348923,103.4678116,93.22197723,85.32628632,35.79766537,165.7047263,1461.786237,20307.87005,19860,76.221
Armenia,Europe & Central Asia,Upper middle income,2936146,1.755976031,91.6685791,89.95716095,89.87245178,85.50843048,10.6870229,101.8920721,1169.754501,10704.23341,10950,74.64
Aruba,Latin America & Caribbean,High income,104872,8.426910901,,,,,,181.1732398,1344.496148,37359.37344,35660,75.868
Australia,East Asia & Pacific,High income,24190907,15.53922046,,,,,28.66666667,305.7099099,1097.561162,47349.92795,46230,82.44878049
Austria,Europe & Central Asia,High income,8736668,7.033335706,99.59905243,99.71157837,97.86573792,96.52494049,30.6010929,288.8172012,1268.160814,52678.66063,52670,81.64146341
Azerbaijan,Europe & Central Asia,Upper middle income,9757812,3.855347182,109.7202072,112.6945419,88.063797,89.88736725,16.8,184.8426676,1044.189005,14371.02274,13430,72.493
"Bahamas, The",Latin America & Caribbean,High income,377931,4.725277895,77.32086945,77.52667999,,,13.15789474,225.2474658,953.0840286,34154.25846,32890,73.329
Bahrain,Middle East & North Africa,High income,1425791,22.22898097,103.0401001,96.28370667,97.18608856,98.26998138,7.5,162.8639822,2100.497198,44769.03371,42280,76.899
Bangladesh,South Asia,Lower middle income,157970840,0.533298791,,,87.12796021,71.91602325,20,41.73175252,860.8044371,3849.111431,4070,71.785
Barbados,Latin America & Caribbean,High income,285796,4.465128973,,,,,16.66666667,304.017551,1162.395555,15952.07031,15220,78.888
Belarus,Europe & Central Asia,Upper middle income,9501534,6.133707568,97.59322357,96.18154907,106.8452225,107.9384918,34.54545455,322.8457636,1204.005585,17725.75218,16900,73.82682927
Belgium,Europe & Central Asia,High income,11331422,8.550513254,,,95.18592072,93.65718842,39.33333333,376.8556144,1107.610325,48592.48481,49060,81.43902439
Belize,Latin America & Caribbean,Upper middle income,368400,1.542847448,105.7046127,104.9796677,75.80316162,64.99620056,3.125,49.87513572,605.1248643,7179.462319,6730,74.219
Benin,Sub-Saharan Africa,Lower middle income,10872067,0.595647727,76.03179932,85.3337326,40.25217819,51.2989006,7.228915663,2.050943947,817.9208241,3004.809187,2980,60.885
Bermuda,North America,High income,64554,9.486460947,,,,,,353.1462032,989.7295288,76362.05141,78530,81.22707317
Bhutan,South Asia,Lower middle income,736709,1.712274453,105.9708023,95.49971771,84.82778168,75.69667816,8.510638298,22.38197171,947.9631713,10457.2018,9560,70.781
Bolivia,Latin America & Caribbean,Lower middle income,11031813,1.958514344,89.59416199,90.21766663,86.39080048,85.38391876,53.07692308,26.06906045,916.0960216,7499.778859,7360,70.626
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,3386267,6.451938373,,,,,21.42857143,195.633717,1005.248552,12990.01581,13010,76.998
Botswana,Sub-Saharan Africa,Upper middle income,2159944,2.935373787,,,,,9.523809524,27.34191257,1522.720033,17260.30471,15840,68.178
Brazil,Latin America & Caribbean,Upper middle income,206163058,2.242393446,,,,,9.941520468,129.8156918,1183.85419,14256.16325,13950,75.23
